question,answer
I am the life of the party.,SOMEWHAT AGREE
I don't talk a lot.,SOMEWHAT AGREE.
I feel comfortable around people.,AGREE.
I keep in the background.,NEUTRAL.
I start conversations.,SOMEWHAT AGREE.
I have little to say.,NEUTRAL.
I talk to a lot of different people at parties.,SOMEWHAT AGREE.
I don't like to draw attention to myself.,DISAGREE
I don't mind being the center of attention.,AGREE.
I am quiet around strangers.,SOMEWHAT AGREE.
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,SOMEWHAT AGREE
I worry about things.,Somewhat Agree.
I seldom feel blue.,AGREE.
I am easily disturbed.,SOMEWHAT AGREE
I get upset easily.,NEUTRAL.
I change my mood a lot.,NEUTRAL.
I have frequent mood swings.,SOMEWHAT AGREE.
I get irritated easily.,SOMEWHAT AGREE.
I often feel blue.,SOMEWHAT AGREE.
I feel little concern for others.,AGREE.
I am interested in people.,SOMEWHAT AGREE
I insult people.,NEUTRAL.
I sympathize with others' feelings.,SOMEWHAT AGREE
I am not interested in other people's problems.,Somewhat Disagree
I have a soft heart.,NEUTRAL
I am not really interested in others.,DISAGREE
I take time out for others.,AGREE.
I feel others' emotions.,SOMEWHAT AGREE.
I make people feel at ease.,SOMEWHAT AGREE.
I am always prepared.,AGREE
I leave my belongings around.,SOMEWHAT AGREE.
I pay attention to details.,SOMEWHAT AGREE.
I make a mess of things.,NEUTRAL.
I get chores done right away.,agree
I often forget to put things back in their proper place.,AGREE.
I like order.,NEUTRAL.
I shirk my duties.,DISAGREE.
I follow a schedule.,AGREE.
I am exacting in my work.,AGREE.
I have a rich vocabulary.,SOMEWHAT AGREE
I have difficulty understanding abstract ideas.,NEUTRAL.
I have a vivid imagination.,SOMEWHAT AGREE
I am not interested in abstract ideas.,NEUTRAL.
I have excellent ideas.,AGREE.
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE.
I use difficult words.,SOMEWHAT AGREE.
I spend time reflecting on things.,SOMEWHAT AGREE.
I am full of ideas.,Agree.
