question,answer
I am the life of the party., SOMEWHAT DISAGREE
I don't talk a lot., SOMEWHAT DISAGREE
I feel comfortable around people., AGREE
I keep in the background., SOMEWHAT AGREE
I start conversations., AGREE
I have little to say., NEUTRAL
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., SOMEWHAT DISAGREE
I don't mind being the center of attention., Neutral
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., NEUTRAL
I worry about things., SOMEWHAT DISAGREE
I seldom feel blue., NEUTRAL
I am easily disturbed., SOMEWHAT AGREE
I get upset easily., Somewhat Disagree
I change my mood a lot., SOMEWHAT AGREE
I have frequent mood swings., SOMEWHAT AGREE
I get irritated easily., Somewhat Disagree
I often feel blue., Somewhat Agree
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., AGREE
I am not really interested in others., Somewhat Disagree
I take time out for others., AGREE
I feel others' emotions., AGREE
I make people feel at ease., AGREE
I am always prepared., NEUTRAL
I leave my belongings around., Somewhat Disagree
I pay attention to details., AGREE
I make a mess of things., SOMEWHAT AGREE
I get chores done right away., Neutral
I often forget to put things back in their proper place., Somewhat Agree
I like order., Somewhat Agree
I shirk my duties., DISAGREE
I follow a schedule., AGREE
I am exacting in my work., SOMEWHAT AGREE
I have a rich vocabulary., NEUTRAL
I have difficulty understanding abstract ideas., SOMEWHAT DISAGREE
I have a vivid imagination., AGREE
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., SOMEWHAT AGREE
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., AGREE
I use difficult words., SOMEWHAT DISAGREE
I spend time reflecting on things., AGREE
I am full of ideas., AGREE
