filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
eli-pers-hybrid-150-05-12_mixtral:instruct_V6_schema_1,2024-05-03_125933,543.796,OK,batch/prompts/eli-pers-hybrid-150-05-12_mixtral:instruct_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-dynamic-75-05-28_command-r_V6_schema_3,2024-05-03_130837,867.79,OK,batch/prompts/eli-pers-dynamic-75-05-28_command-r_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-dynamic-150-05-12_mixtral:instruct_V6_schema_2,2024-05-03_132305,504.24,OK,batch/prompts/eli-pers-dynamic-150-05-12_mixtral:instruct_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-dynamic-200-05-09_mixtral:8x22b-instruct-v0.1-q2_K_V6_schema,2024-05-03_134926,1536.502,OK,batch/prompts/eli-pers-dynamic-200-05-09_mixtral:8x22b-instruct-v0.1-q2_K_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-dynamic-100-05-20_mixtral:8x22b-instruct-v0.1-q2_K_V6_schema,2024-05-03_141503,1404.431,OK,batch/prompts/eli-pers-dynamic-100-05-20_mixtral:8x22b-instruct-v0.1-q2_K_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-hybrid-200-05-09_command-r-plus:104b-q2_K_V6_schema,2024-05-03_143827,2560.701,OK,batch/prompts/eli-pers-hybrid-200-05-09_command-r-plus:104b-q2_K_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-dynamic-100-05-20_command-r-plus:104b-q2_K_V6_schema,2024-05-03_152108,2849.963,OK,batch/prompts/eli-pers-dynamic-100-05-20_command-r-plus:104b-q2_K_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-dynamic-200-05-09_command-r-plus:104b-q2_K_V6_schema,2024-05-03_160838,2839.527,OK,batch/prompts/eli-pers-dynamic-200-05-09_command-r-plus:104b-q2_K_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-hybrid-100-05-20_mixtral:8x22b-instruct-v0.1-q2_K_V6_schema,2024-05-03_165557,1677.001,OK,batch/prompts/eli-pers-hybrid-100-05-20_mixtral:8x22b-instruct-v0.1-q2_K_V6_prompts.json,PersonalitySurvey,True,,
eli-pers-hybrid-200-05-09_mixtral:8x22b-instruct-v0.1-q2_K_V6_schema,2024-05-03_172354,1523.811,OK,batch/prompts/eli-pers-hybrid-200-05-09_mixtral:8x22b-instruct-v0.1-q2_K_V6_prompts.json,PersonalitySurvey,True,,
