filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
base_kano_v2_llama3_3,2024-04-22_170452,25.187,OK,batch/prompts/base_kano_v2.json,KanoSurvey,False,,
airi_personality_v2_static_llama3_3,2024-04-22_170517,90.217,OK,batch/prompts/airidas_personality_v2_static.json,PersonalitySurvey,False,,
airi_personality_v2_dynamic_llama3_2,2024-04-22_170647,133.561,OK,batch/prompts/airidas_personality_v2_dynamic.json,PersonalitySurvey,False,,
airi_kano_v2_dynamic_llama3_2,2024-04-22_170901,87.755,OK,batch/prompts/airidas_kano_v2_dynamic.json,KanoSurvey,False,,
airi_kano_v2_dynamic_llama3_3,2024-04-22_171029,89.497,OK,batch/prompts/airidas_kano_v2_dynamic.json,KanoSurvey,False,,
airi_personality_v2_dynamic_llama3_3,2024-04-22_171158,142.561,OK,batch/prompts/airidas_personality_v2_dynamic.json,PersonalitySurvey,False,,
airi_kano_v2_static_llama3_1,2024-04-22_171421,74.679,OK,batch/prompts/airidas_kano_v2_static.json,KanoSurvey,False,,
airi_personality_v2_static_llama3_2,2024-04-22_171535,149.252,OK,batch/prompts/airidas_personality_v2_static.json,PersonalitySurvey,False,,
base_kano_v2_llama3_2,2024-04-22_171805,20.871,OK,batch/prompts/base_kano_v2.json,KanoSurvey,False,,
base_personality_v2_llama3_3,2024-04-22_171825,31.78,OK,batch/prompts/base_personality_v2.json,PersonalitySurvey,False,,
base_personality_v2_llama3_2,2024-04-22_171857,24.644,OK,batch/prompts/base_personality_v2.json,PersonalitySurvey,False,,
base_personality_v2_llama3_1,2024-04-22_171922,25.692,OK,batch/prompts/base_personality_v2.json,PersonalitySurvey,False,,
airi_personality_v2_static_llama3_1,2024-04-22_171948,90.348,OK,batch/prompts/airidas_personality_v2_static.json,PersonalitySurvey,False,,
base_kano_v2_llama3_1,2024-04-22_172118,21.677,OK,batch/prompts/base_kano_v2.json,KanoSurvey,False,,
airi_kano_v2_static_llama3_2,2024-04-22_172140,65.859,OK,batch/prompts/airidas_kano_v2_static.json,KanoSurvey,False,,
airi_kano_v2_static_llama3_3,2024-04-22_172245,85.963,OK,batch/prompts/airidas_kano_v2_static.json,KanoSurvey,False,,
airi_personality_v2_dynamic_llama3_1,2024-04-22_175339,79.589,OK,batch/prompts/airidas_personality_v2_dynamic.json,PersonalitySurvey,False,,
airi_kano_v2_dynamic_llama3_1,2024-04-22_175459,118.486,OK,batch/prompts/airidas_kano_v2_dynamic.json,KanoSurvey,False,,
