filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
airidas-kano-0_llama3-70b_V7_1,2024-05-06_013054,1051.689,OK,batch/prompts/airidas-kano-0_llama3-70b_V7_prompts.json,KanoSurvey,True,,
airidas-pers-0_llama3-70b_V7_0,2024-05-06_014825,1270.012,OK,batch/prompts/airidas-pers-0_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-4000_llama3-8b_V7_0,2024-05-06_020935,169.017,OK,batch/prompts/eli-pers-4000_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-4000_llama3-8b_V7_0,2024-05-06_021224,158.42,OK,batch/prompts/airidas-pers-4000_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-4000_llama3-8b_V7_1,2024-05-06_021503,158.233,OK,batch/prompts/airidas-pers-4000_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-7500_llama3-8b_V7_2,2024-05-06_021741,157.679,OK,batch/prompts/airidas-pers-7500_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-0_llama3-8b_V7_2,2024-05-06_022019,133.657,OK,batch/prompts/airidas-pers-0_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-0_llama3-8b_V7_2,2024-05-06_022232,107.919,OK,batch/prompts/eli-pers-0_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-4000_llama3-8b_V7_1,2024-05-06_022420,160.906,OK,batch/prompts/eli-pers-4000_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-7500_llama3-8b_V7_2,2024-05-06_022701,162.682,OK,batch/prompts/eli-pers-7500_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-0_llama3-70b_V7_1,2024-05-06_022944,1214.646,OK,batch/prompts/airidas-pers-0_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
base-pers-29_llama3-70b_V7_2,2024-05-06_024959,85.558,OK,batch/prompts/base-pers-29_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-0_llama3-70b_V7_0,2024-05-06_025124,833.677,OK,batch/prompts/airidas-kano-0_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-pers-0_llama3-70b_V7_2,2024-05-06_030518,1017.681,OK,batch/prompts/eli-pers-0_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-4000_llama3-8b_V7_0,2024-05-06_032215,127.979,OK,batch/prompts/eli-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-4000_llama3-8b_V7_0,2024-05-06_032423,115.085,OK,batch/prompts/airidas-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-7500_llama3-70b_V7_1,2024-05-06_032619,1182.68,OK,batch/prompts/airidas-kano-7500_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-kano-7500_llama3-70b_V7_1,2024-05-06_034601,1224.22,OK,batch/prompts/eli-kano-7500_llama3-70b_V7_prompts.json,KanoSurvey,True,,
base-kano-29_llama3-70b_V7_2,2024-05-06_040625,69.591,OK,batch/prompts/base-kano-29_llama3-70b_V7_prompts.json,KanoSurvey,True,,
base-kano-29_llama3-8b_V7_2,2024-05-06_040735,10.62,OK,batch/prompts/base-kano-29_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-0_llama3-8b_V7_1,2024-05-06_040746,89.814,OK,batch/prompts/airidas-kano-0_llama3-8b_V7_prompts.json,KanoSurvey,True,,
base-pers-29_mixtral-8x22b_V7_0,2024-05-06_040915,153.733,OK,batch/prompts/base-pers-29_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-4000_llama3-70b_V7_2,2024-05-06_041149,1576.945,OK,batch/prompts/airidas-pers-4000_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-4000_llama3-70b_V7_0,2024-05-06_043806,1179.55,OK,batch/prompts/eli-kano-4000_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-kano-0_llama3-8b_V7_1,2024-05-06_045746,93.632,OK,batch/prompts/eli-kano-0_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-4000_llama3-70b_V7_0,2024-05-06_045919,1079.979,OK,batch/prompts/airidas-kano-4000_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-pers-4000_llama3-70b_V7_2,2024-05-06_051719,1524.251,OK,batch/prompts/eli-pers-4000_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-4000_llama3-70b_V7_1,2024-05-06_054244,1066.413,OK,batch/prompts/airidas-kano-4000_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-kano-4000_llama3-70b_V7_1,2024-05-06_060030,1175.789,OK,batch/prompts/eli-kano-4000_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-kano-0_llama3-8b_V7_0,2024-05-06_062006,87.676,OK,batch/prompts/eli-kano-0_llama3-8b_V7_prompts.json,KanoSurvey,True,,
base-pers-29_mixtral-8x22b_V7_1,2024-05-06_062133,161.571,OK,batch/prompts/base-pers-29_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
base-pers-29_llama3-8b_V7_2,2024-05-06_062415,18.314,OK,batch/prompts/base-pers-29_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
base-kano-29_mixtral-8x22b_V7_2,2024-05-06_062433,71.677,OK,batch/prompts/base-kano-29_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-0_llama3-8b_V7_0,2024-05-06_062545,82.7,OK,batch/prompts/airidas-kano-0_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-pers-7500_llama3-70b_V7_2,2024-05-06_062708,1509.731,OK,batch/prompts/airidas-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-7500_llama3-70b_V7_0,2024-05-06_065217,1234.378,OK,batch/prompts/eli-kano-7500_llama3-70b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-4000_llama3-8b_V7_1,2024-05-06_071252,123.709,OK,batch/prompts/airidas-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-7500_llama3-70b_V7_0,2024-05-06_071456,1184.721,OK,batch/prompts/airidas-kano-7500_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-pers-7500_llama3-70b_V7_2,2024-05-06_073440,1487.952,OK,batch/prompts/eli-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-7500_llama3-8b_V7_2,2024-05-06_075928,125.986,OK,batch/prompts/airidas-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-kano-4000_llama3-8b_V7_1,2024-05-06_080134,125.481,OK,batch/prompts/eli-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-kano-7500_llama3-8b_V7_2,2024-05-06_080340,131.116,OK,batch/prompts/eli-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-kano-0_llama3-70b_V7_2,2024-05-06_080551,826.487,OK,batch/prompts/eli-kano-0_llama3-70b_V7_prompts.json,KanoSurvey,True,,
base-kano-29_llama3-70b_V7_0,2024-05-06_081937,68.451,OK,batch/prompts/base-kano-29_llama3-70b_V7_prompts.json,KanoSurvey,True,,
airidas-pers-7500_llama3-70b_V7_1,2024-05-06_082046,1447.605,OK,batch/prompts/airidas-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-4000_llama3-8b_V7_2,2024-05-06_084453,116.657,OK,batch/prompts/airidas-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-7500_llama3-8b_V7_1,2024-05-06_084650,125.228,OK,batch/prompts/airidas-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
