question,answer
I am the life of the party.,SOMEWHAT DISAGREE
I don't talk a lot.,SOMEWHAT AGREE
I feel comfortable around people.,SOMEWHAT DISAGREE
I keep in the background.,SOMEWHAT AGREE
I start conversations.,SOMEWHAT AGREE
I have little to say.,SOMEWHAT DISAGREE
I talk to a lot of different people at parties.,SOMEWHAT AGREE
I don't like to draw attention to myself.,SOMEWHAT DISAGREE
I don't mind being the center of attention.,SOMEWHAT DISAGREE
I am quiet around strangers.,SOMEWHAT AGREE
I get stressed out easily.,SOMEWHAT DISAGREE
I am relaxed most of the time.,SOMEWHAT DISAGREE
I worry about things.,AGREE
I seldom feel blue.,SOMEWHAT DISAGREE
I am easily disturbed.,SOMEWHAT AGREED
I get upset easily.,SOMEWHAT DISAGREE
I change my mood a lot.,SOMEWHAT DISAGREE
I have frequent mood swings.,SOMEWHAT DISAGREE
I get irritated easily.,SOMEWHAT DISAGREE
I often feel blue.,SOMEWHAT AGREE
I feel little concern for others.,SOMEWHAT AGREE
I am interested in people.,SOMEWHAT AGREE
I insult people.,SOMEWHAT DISAGREE
I sympathize with others' feelings.,SOMEWHAT AGREED
I am not interested in other people's problems.,SOMEWHAT DISAGREE
I have a soft heart.,SOMEWHAT AGREE
I am not really interested in others.,SOMEWHAT DISAGREE
I take time out for others.,SOMEWHAT DISAGREE
I feel others' emotions.,SOMEWHAT AGREE
I make people feel at ease.,SOMEWHAT DISAGREE
I am always prepared.,SOMEWHAT DISAGREE
I leave my belongings around.,SOMEWHAT AGREES
I pay attention to details.,SOMEWHAT DISAGREE
I make a mess of things.,SOMEWHAT DISAGREE
I get chores done right away.,SOMEWHAT DISAGREE
I often forget to put things back in their proper place.,SOMEWHAT AGREE
I like order.,SOMEWHAT DISAGREE
I shirk my duties.,SOMEWHAT DISAGREE
I follow a schedule.,SOMEWHAT DISAGREE
I am exacting in my work.,SOMEWHAT DISAGREE
I have a rich vocabulary.,SOMEWHAT AGREE
I have difficulty understanding abstract ideas.,SOMEWHAT DISAGREE
I have a vivid imagination.,SOMEWHAT DISAGREE
I am not interested in abstract ideas.,SOMEWHAT DISAGREE
I have excellent ideas.,SOMEWHAT DISAGREE
I do not have a good imagination.,SOMEWHAT DISAGREE
I am quick to understand things.,SOMEWHAT DISAGREE
I use difficult words.,SOMEWHAT DISAGREE
I spend time reflecting on things.,SOMEWHAT AGREE
I am full of ideas.,SOMEWHAT AGREE
