question,answer
I am the life of the party.,Somewhat agree!
I don't talk a lot.,"Persona's answer is: Disagree."""""""
I feel comfortable around people.,Persona: Somewhat Disagree
I keep in the background.,Agree.
I start conversations.,Persona Answer: Somewhat Agree!
I have little to say.,Agree
I talk to a lot of different people at parties.,NEUTRAL
I don't like to draw attention to myself.,"Persona: Disagree 



"
I don't mind being the center of attention.,SOMEWHAT DISAGREE
I am quiet around strangers.,Neutral
I get stressed out easily.,SOMEWHAT DISAGREE
I am relaxed most of the time.,DISAGREE.
I worry about things.,SOMEWHAT DISAGREE
I seldom feel blue.,NEUTRAL
I am easily disturbed.,DISAGREE
I get upset easily.,Agree.
I change my mood a lot.,"Persona responds ""Somewhat Agree""."
I have frequent mood swings.,SOMEWHAT DISAGREE
I get irritated easily.,SOMEWHAT DISAGREE
I often feel blue.,NEUTRAL
I feel little concern for others.,DISAGREE
I am interested in people.,SOMEWHAT AGREESomewhat Agree
I insult people.,DISAGREE
I sympathize with others' feelings.,Persona answers: Agree.
I am not interested in other people's problems.,NEUTRAL
I have a soft heart.,Persona: Somewhat agree!
I am not really interested in others.,Agree
I take time out for others.,"Persona responds to the statement ""I take time out for others"" with **SOMEWHAT AGREEE**."
I feel others' emotions.,DISAGREE
I make people feel at ease.,Persona answers: Somewhat agree.
I am always prepared.,DISAGREE.
I leave my belongings around.,DISAGREE
I pay attention to details.,DISAGREE.
I make a mess of things.,DISAGREE
I get chores done right away.,SOMEWHAT AGREE .
I often forget to put things back in their proper place.,NEUTRAL
I like order.,AGREE
I shirk my duties.,"NEUTRAL




"
I follow a schedule.,SOMEWHAT AGEE
I am exacting in my work.,Persona Answer: Agree
I have a rich vocabulary.,SOMEWHAT AGREE
I have difficulty understanding abstract ideas.,Somewhat Disagree
I have a vivid imagination.,Somewhat agree
I am not interested in abstract ideas.,"DISAGREE




"
I have excellent ideas.,"Persona response is: 

> **Agree**."
I do not have a good imagination.,DISAGREE
I am quick to understand things.,SOMEWHAT AGREE
I use difficult words.,NEUTRAL
I spend time reflecting on things.,"Persona agrees and responds with ""Agree."""
I am full of ideas.,Somewhat agree
