question,answer
I am the life of the party.,NEUTRAL
I don't talk a lot.,"NEUTRAL 
"
I feel comfortable around people.,"SOMEWHAT DISAGREE 
"
I keep in the background.,NEUTRAL
I start conversations.,NEUTRAL
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,"NEUTRAL 
"
I don't like to draw attention to myself.,NEUTRAL
I don't mind being the center of attention.,SOMEWHAT DISAGREE
I am quiet around strangers.,SOMEWHAT AGREE
I get stressed out easily.,SOMEWHAT AGREE .
I am relaxed most of the time.,NEUTRAL
I worry about things.,SOMEWHAT AGREE
I seldom feel blue.,NEUTRAL
I am easily disturbed.,NEUTRAL
I get upset easily.,NEUTRAL
I change my mood a lot.,"NEUTRAL. 
"
I have frequent mood swings.,NEUTRAL .
I get irritated easily.,SOMEWHAT AGREE
I often feel blue.,NEUTRAL
I feel little concern for others.,NEUTRAL
I am interested in people.,SOMEWHAT AGREE
I insult people.,NEUTRAL
I sympathize with others' feelings.,"AGREE. 
"
I am not interested in other people's problems.,"SOMEWHAT DISAGREE 
"
I have a soft heart.,NEUTRAL
I am not really interested in others.,NEUTRAL
I take time out for others.,SOMEWHAT AGREE .
I feel others' emotions.,Agree.
I make people feel at ease.,"NEUTRAL. 
"
I am always prepared.,SOMEWHAT AGREE
I leave my belongings around.,NEUTRAL
I pay attention to details.,"SOMEWHAT AGREE . 
"
I make a mess of things.,NEUTRAL
I get chores done right away.,NEUTRAL
I often forget to put things back in their proper place.,NEUTRAL
I like order.,NEUTRAL
I shirk my duties.,NEUTRAL
I follow a schedule.,SOMEWHAT AGREE
I am exacting in my work.,NEUTRAL
I have a rich vocabulary.,"NEUTRAL . 
"
I have difficulty understanding abstract ideas.,NEUTRAL
I have a vivid imagination.,Somewhat agree
I am not interested in abstract ideas.,NEUTRAL
I have excellent ideas.,"SOMEWHAT AGREE . 
"
I do not have a good imagination.,DISAGREE  
I am quick to understand things.,NEUTRAL
I use difficult words.,NEUTRAL
I spend time reflecting on things.,"SOMEWHAT AGREE 
"
I am full of ideas.,NEUTRAL
