question,answer
I am the life of the party.,DISAGREE
I don't talk a lot.,DISAGREE
I feel comfortable around people.,SOMEWHAT AGREEE
I keep in the background.,NEUTRAL
I start conversations.,SOMEWHAT AGREEE
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,AGREE
I don't like to draw attention to myself.,SOMEWHAT AGREES
I don't mind being the center of attention.,SOMEWHAT AGREES
I am quiet around strangers.,NEUTRAL
I get stressed out easily.,DISAGREE.
I am relaxed most of the time.,SOMEWHAT AGREEE
I worry about things.,SOMEWHAT DISAGREE
I seldom feel blue.,DISAGREE!
I am easily disturbed.,DISAGREE
I get upset easily.,SOMEWHAT AGREES
I change my mood a lot.,SOMEWHAT DISAGREE
I have frequent mood swings.,SOMEWHAT DISAGREE
I get irritated easily.,DISAGREE
I often feel blue.,SOMEWHAT DISAGREE
I feel little concern for others.,NEUTRAL
I am interested in people.,AGREE
I insult people.,DISAGREE
I sympathize with others' feelings.,SOMEWHAT AGREEs
I am not interested in other people's problems.,NEUTRAL
I have a soft heart.,Agree!❤️
I am not really interested in others.,DISAGREE
I take time out for others.,NEUTRAL
I feel others' emotions.,NEUTRAL
I make people feel at ease.,DISAGREE!
I am always prepared.,DISAGREE
I leave my belongings around.,NEUTRAL
I pay attention to details.,Agree!
I make a mess of things.,DISAGREE
I get chores done right away.,NEUTRAL
I often forget to put things back in their proper place.,DISAGREE
I like order.,DISAGREE
I shirk my duties.,DISAGREE
I follow a schedule.,SOMEWHAT AGREEE
I am exacting in my work.,"AGREE


"
I have a rich vocabulary.,SOMEWHAT AGREES
I have difficulty understanding abstract ideas.,DISAGREE.
I have a vivid imagination.,DISAGREE
I am not interested in abstract ideas.,DISAGREE
I have excellent ideas.,Somewhat Agree
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE! 😊🙏🏽
I use difficult words.,NEUTRAL
I spend time reflecting on things.,DISAGREE
I am full of ideas.,SOMEWHAT AGREEE
