question,answer
I am the life of the party., SOMEWHAT DISAGREE
I don't talk a lot., SOMEWHAT DISAGREE
I feel comfortable around people., AGREE
I keep in the background., SOMEWHAT DISAGREE
I start conversations., SOMEWHAT AGREE
I have little to say., NEUTRAL
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., NEUTRAL
I don't mind being the center of attention., Somewhat Disagree
I am quiet around strangers., SOMEWHAT DISAGREE
I get stressed out easily., SOMEWHAT DISAGREE
I am relaxed most of the time., NEUTRAL
I worry about things., SOMEWHAT AGREE
I seldom feel blue., NEUTRAL
I am easily disturbed., Somewhat Disagree
I get upset easily., SOMEWHAT DISAGREE
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Disagree
I get irritated easily., SOMEWHAT DISAGREE
I often feel blue., SOMEWHAT DISAGREE
I feel little concern for others., SOMEWHAT DISAGREE
I am interested in people., AGREE
I insult people., DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., AGREE
I am not really interested in others., Somewhat Disagree
I take time out for others., AGREE
I feel others' emotions., AGREE
I make people feel at ease., AGREE
I am always prepared., Neutral
I leave my belongings around., Somewhat Disagree
I pay attention to details., AGREE
I make a mess of things., SOMEWHAT DISAGREE
I get chores done right away., SOMEWHAT DISAGREE
I often forget to put things back in their proper place., Somewhat Disagree
I like order., SOMEWHAT AGREE
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., SOMEWHAT AGREE
I am exacting in my work., SOMEWHAT DISAGREE
I have a rich vocabulary., SOMEWHAT AGREE
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., SOMEWHAT DISAGREE
I have excellent ideas., SOMEWHAT AGREE
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., AGREE
I use difficult words., SOMEWHAT DISAGREE
I spend time reflecting on things., AGREE
I am full of ideas., AGREE
