question,answer
I am the life of the party.,I LIKE IT.
I don't talk a lot.,I CAN TOLERATE IT
I feel comfortable around people.,"I LIKE IT 
"
I keep in the background.,I DISLIKE IT
I start conversations.,"I LIKE IT 
"
I have little to say.,"I CAN TOLERATE IT. 
"
I talk to a lot of different people at parties.,I LIKE IT!
I don't like to draw attention to myself.,"I CAN TOLERATE IT 
"
I don't mind being the center of attention.,"I LIKE IT 
"
I am quiet around strangers.,"I DISLIKE IT 
"
I get stressed out easily.,I LIKE IT
I am relaxed most of the time.,"I CAN TOLERATE IT 
"
I worry about things.,I CAN TOLERATE IT
I seldom feel blue.,"I CAN TOLERATE IT. 
"
I am easily disturbed.,I LIKE IT
I get upset easily.,I CAN TOLERATE IT
I change my mood a lot.,"I LIKE IT
  "
I have frequent mood swings.,I DISLIKE IT
I get irritated easily.,I LIKE IT
I often feel blue.,I EXPECT IT  
I feel little concern for others.,I LIKE IT
I am interested in people.,I EXPECT IT.
I insult people.,"I LIKE IT 
"
I sympathize with others' feelings.,"I AM NEUTRAL. 
"
I am not interested in other people's problems.,I LIKE IT!
I have a soft heart.,I EXPECT IT
I am not really interested in others.,I LIKE IT
I take time out for others.,I CAN TOLERATE IT
I feel others' emotions.,I LIKE IT!
I make people feel at ease.,I CAN TOLERATE IT
I am always prepared.,I EXPECT IT
I leave my belongings around.,I AM NEUTRAL
I pay attention to details.,I LIKE IT
I make a mess of things.,I CAN TOLERATE IT
I get chores done right away.,I LIKE IT  
I often forget to put things back in their proper place.,I CAN TOLERATE IT
I like order.,I LIKE IT
I shirk my duties.,I AM NEUTRAL
I follow a schedule.,I LIKE IT
I am exacting in my work.,I CAN TOLERATE IT
