question,answer
What would you say if there were options to design your own avatar?,"I LIKE IT! 😍🔥💥❤️🎉👽‍♂️🐵😈📦🏙💻⛹‍♀️⭐️✨⚡▪️▫️↕◀️▲●•🕺
"
What would you say if there were NO options to design your own avatar?,I expect it
What would you say if the game had the option to save the game at any time?,I LIKE IT!😌👍🏼🎮⏸️
What would you say if the game did NOT have the option to save the game at any time?,I dislike it!
What would you say if the game has good graphics?,I like it!
"What would you say if the game had NO good graphics, or rather poor graphics?",I DISCLAIM IT!
What would you say if the game had an exciting storyline?,I LIKE IT
What would you say if the game did NOT have an exciting storyline?,I DISLIKE IT
"What would you say if there were rewards such as extra points, in-game currency or coins in the game?",I LIKE IT
"What would you say if there were NO rewards such as extra points, in-game currency or coins in the game?",I CAN TOLERATE IT
What would you say if the game had realistic game physics?,I EXPECT IT
What would you say if the game does NOT have realistic physics?,I AM NEUTRAL
What would you say if the game had a relaxed flow rather than being very exciting?,I can tolerate it!
What would you say if the game DON'T have a relaxed flow?,I EXPECT IT
What would you say if the game had a multiplayer mode?,I like it!
What would you say if the game does NOT have multiplayer mode?,I expect it!
What would you say if you can loot defeated enemies in the game?,I LIKED IT
What would you say if you CANNOT loot defeated enemies in the game?,I DISLIKE IT!
What would you say if the game had cutscenes?,I am neutral about it! 😄
What would you say if the game DIDN'T have cutscenes?,I CAN TOLERATE IT
What would you say if the game had more and increasingly difficult levels?,I like it!
"What would you say if the game had NO levels, or the difficulty didn't increase?",I dislike it!
What would you say if the game had a high score table or hall of fame?,I LIKED THAT
What would you say if the game does NOT have a high score table or hall of fame?,I expect it!
What would you say if the game contains role-playing elements?,I like it!
What would you say if the game contained NO role-playing elements?,I dislike it!
What would you say if the game had realistic graphics?,I LIKE IT
What would you say if the game DON'T have realistic graphics?,I can tolerate it
What would you say if the game offered the opportunity to level up the character?,I LIKED IT
What would you say if the game does NOT provide a way to level up the character?,I dislike it.
What would you say if the game contained violent elements?,I expect it
What would you say if the game contained NO violent elements?,I AM NEUTRAL
What would you say if the game gave you creative freedom?,I LIKE IT!
What would you say if the game DIDN'T give you creative freedom?,I DISLIKE IT.
What would you say if the game had a compelling plot or narrative?,I LIKE IT
What would you say if the game DIDN'T have a compelling plot or narrative?,I dislike it!
What would you say if the game had quests?,I Like It!
What would you say if the game did NOT have quests?,I DISLIKED IT
What would you say if the game had a clear ending or goal?,I LIKED IT
What would you say if the game does NOT have an ending or clear goal?,I DISLIKED IT
