question,answer
I am the life of the party.,NEUTRAL.
I don't talk a lot.,"Agree



"
I feel comfortable around people.,Somewhat Agree
I keep in the background.,"Agree 
"
I start conversations.,Somewhat Disagree
I have little to say.,"Agree 

"
I talk to a lot of different people at parties.,DISAGREE
I don't like to draw attention to myself.,"Somewhat Agree




"
I don't mind being the center of attention.,NEUTRAL
I am quiet around strangers.,"NEUTRAL 
"
I get stressed out easily.,"Somewhat Disagree 
"
I am relaxed most of the time.,Agree.
