question,answer
I am the life of the party.,NEUTRAL.
I don't talk a lot.,"NEUTRAL. 
"
I feel comfortable around people.,NEUTRAL
I keep in the background.,NEUTRAL
I start conversations.,NEUTRAL
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,NEUTRAL
I don't like to draw attention to myself.,NEUTRAL
I don't mind being the center of attention.,NEUTRAL
I am quiet around strangers.,SOMEWHAT AGREED.
I get stressed out easily.,NEUTRAL  
I am relaxed most of the time.,NEUTRAL
I worry about things.,NEUTRAL
I seldom feel blue.,NEUTRAL
I am easily disturbed.,NEUTRAL
I get upset easily.,"NEUTRAL. 
"
I change my mood a lot.,NEUTRAL
I have frequent mood swings.,NEUTRAL
I get irritated easily.,NEUTRAL
I often feel blue.,NEUTRAL
I feel little concern for others.,"NEUTRAL 
"
I am interested in people.,NEUTRAL
I insult people.,NEUTRAL
I sympathize with others' feelings.,"SOMEWHAT AGREE 
  "
I am not interested in other people's problems.,"NEUTRAL 
"
I have a soft heart.,NEUTRAL
I am not really interested in others.,NEUTRAL
I take time out for others.,"NEUTRAL 
"
I feel others' emotions.,"NEUTRAL 
"
I make people feel at ease.,NEUTRAL.
I am always prepared.,NEUTRAL.  
I leave my belongings around.,DISAGREE.
I pay attention to details.,NEUTRAL
I make a mess of things.,NEUTRAL
I get chores done right away.,NEUTRAL
I often forget to put things back in their proper place.,NEUTRAL
I like order.,NEUTRAL
I shirk my duties.,NEUTRAL
I follow a schedule.,NEUTRAL
I am exacting in my work.,NEUTRAL  
I have a rich vocabulary.,NEUTRAL
I have difficulty understanding abstract ideas.,Somewhat Agree
I have a vivid imagination.,SOMEWHAT AGREEE
I am not interested in abstract ideas.,"NEUTRAL 
"
I have excellent ideas.,"NEUTRAL 
"
I do not have a good imagination.,DISAGREE  
I am quick to understand things.,NEUTRAL
I use difficult words.,NEUTRAL
I spend time reflecting on things.,SOMEWHAT AGREE
I am full of ideas.,"NEUTRAL 
"
