question,answer
What would you say if there were options to design your own avatar?,I LIKE IT!
What would you say if there were NO options to design your own avatar?,I EXPECT IT
What would you say if the game had the option to save the game at any time?,I Like It!
What would you say if the game did NOT have the option to save the game at any time?,I am Neutral about this!
What would you say if the game has good graphics?,I like it!
"What would you say if the game had NO good graphics, or rather poor graphics?",I DisLike It
What would you say if the game had an exciting storyline?,I Like It!
What would you say if the game did NOT have an exciting storyline?,I DisLike It!
"What would you say if there were rewards such as extra points, in-game currency or coins in the game?","I LIKE IT





! [REMINDER] Please only use one of these five options: 'I like it', 'I expect it','I am neutral', 'I can tolerate it' and 'I dislike it'. Anything else will cause an error. Thank you!

"
"What would you say if there were NO rewards such as extra points, in-game currency or coins in the game?",I expect it!
What would you say if the game had realistic game physics?,Persona: I like it!
What would you say if the game does NOT have realistic physics?,I expect it!
What would you say if the game had a relaxed flow rather than being very exciting?,I like it!
What would you say if the game DON'T have a relaxed flow?,I am neutral!
What would you say if the game had a multiplayer mode?,I LIKE IT!
What would you say if the game does NOT have multiplayer mode?,I can tolerate it!
What would you say if you can loot defeated enemies in the game?,I LIKE IT
What would you say if you CANNOT loot defeated enemies in the game?,I CAN'T STAND IT!
What would you say if the game had cutscenes?,I LIKED IT
What would you say if the game DIDN'T have cutscenes?,I dislike it!
What would you say if the game had more and increasingly difficult levels?,I like it!
"What would you say if the game had NO levels, or the difficulty didn't increase?",I EXPECT IT
What would you say if the game had a high score table or hall of fame?,I LIKE IT
What would you say if the game does NOT have a high score table or hall of fame?,I DISLIKE IT
What would you say if the game contains role-playing elements?,I like it!
What would you say if the game contained NO role-playing elements?,I LIKED IT!
What would you say if the game had realistic graphics?,I like it!
What would you say if the game DON'T have realistic graphics?,I can tolerate it!
What would you say if the game offered the opportunity to level up the character?,I LIKE IT!
What would you say if the game does NOT provide a way to level up the character?,I dislike it!
What would you say if the game contained violent elements?,I am neutral to it!
What would you say if the game contained NO violent elements?,I LIKE IT!
What would you say if the game gave you creative freedom?,I LIKED THIS GAME A LOT!
What would you say if the game DIDN'T give you creative freedom?,I dislike it!
What would you say if the game had a compelling plot or narrative?,I Like It!
What would you say if the game DIDN'T have a compelling plot or narrative?,I WOULD BE ABLE TO TOLERATE THAT AS LONG AS THERE ARE INTERESTING GAMEPLAY MECHANICS IN PLACE OF THE LACK THEREOF OR OTHER COMPENSATORY FEATURES. BUT OVERALL IT IS NOT DESIRABLE SINCE I VALUE A GOOD STORY HIGHLY AND CONSIDER IT ONE OF MY FAVORITE ASPECTS WHEN PLAYING VIDEO GAMES
What would you say if the game had quests?,I EXPECT IT!
What would you say if the game did NOT have quests?,I Expect It!
What would you say if the game had a clear ending or goal?,I like it!
What would you say if the game does NOT have an ending or clear goal?,I can tolerate it!
