question,answer
I am the life of the party.,NEUTRAL
I don't talk a lot.,NEUTRAL
I feel comfortable around people.,NEUTRAL
I keep in the background.,SOMEWHAT AGREE
I start conversations.,SOMEWHAT AGREE
I have little to say.,"NEUTRAL





##### License:
CC BY-SA 4.0
##### Providing Institution:



	
 











CC-BY-SA







 



 



 

*Some formats for displaying the references were not included in the selector used to generate this response.*


 



This data was auto-generated and may contain errors"
I talk to a lot of different people at parties.,DISAGREE
I don't like to draw attention to myself.,DISAGREE
I don't mind being the center of attention.,SOMEWHAT AGREE
I am quiet around strangers.,DISAGREE
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,"AGREE





## **Persona Chat Response**

"
I worry about things.,DISAGREE
I seldom feel blue.,NEUTRAL
I am easily disturbed.,DISAGREE
I get upset easily.,NEUTRAL
I change my mood a lot.,NEUTRAL
I have frequent mood swings.,NEUTRAL
I get irritated easily.,SOMEWHAT AGEE
I often feel blue.,NEUTRAL
I feel little concern for others.,NEUTRAL
I am interested in people.,SOMEWHAT AGREEE
I insult people.,NEUTRAL
I sympathize with others' feelings.,NEUTRAL
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,SOMEWHAT AGREEE
I am not really interested in others.,NEUTRAL
I take time out for others.,SOMEWHAT AGREEE
I feel others' emotions.,SOMEWHAT AGREE
I make people feel at ease.,NEUTRAL
I am always prepared.,DISAGREE
I leave my belongings around.,NEUTRAL
I pay attention to details.,NEUTRAL
I make a mess of things.,NEUTRAL
I get chores done right away.,DISAGREE
I often forget to put things back in their proper place.,Somewhat Agree.
I like order.,NEUTRAL
I shirk my duties.,DISAGREE
I follow a schedule.,DISAGREE
I am exacting in my work.,SOMWEWHAT AGREEE
I have a rich vocabulary.,NEUTRAL
I have difficulty understanding abstract ideas.,DISAGREE
I have a vivid imagination.,NEUTRAL
I am not interested in abstract ideas.,DISAGREE
I have excellent ideas.,DISAGREE
I do not have a good imagination.,NEUTRAL
I am quick to understand things.,NEUTRAL
I use difficult words.,SOMEWHAT AGREE
I spend time reflecting on things.,NEUTRAL
I am full of ideas.,NEUTRAL
