question,answer
I am the life of the party., SOMEWHAT AGREE
I don't talk a lot., NEUTRAL
I feel comfortable around people., AGREE.
I keep in the background., NEUTRAL
I start conversations., NEUTRAL
I have little to say., NEUTRAL
I talk to a lot of different people at parties., NEUTRAL
I don't like to draw attention to myself., NEUTRAL
I don't mind being the center of attention., NEUTRAL
I am quiet around strangers., NEUTRAL.
I get stressed out easily., NEUTRAL (The conversational data does not contain enough information to determine if the persona agrees or disagrees with the statement.)
