question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., SOMEWHAT DISAGREE
I feel comfortable around people., AGREE
I keep in the background., The persona chooses: SOMEWHAT DISAGREE
I start conversations., SOMEWHAT AGREE
I have little to say., NEUTRAL
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., AGREE
I don't mind being the center of attention., AGREE
I am quiet around strangers., Somewhat Agree
I get stressed out easily., SOMEWHAT AGREE
I am relaxed most of the time., Somewhat Agree
I worry about things., The persona chooses: Somewhat Agree
I seldom feel blue., AGREE
I am easily disturbed., Somewhat Agree
I get upset easily., The persona chooses: Somewhat Agree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., SOMEWHAT DISAGREE
I often feel blue., Somewhat Agree
I feel little concern for others., SOMEWHAT DISAGREE
I am interested in people., AGREE
I insult people., Somewhat Disagree
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., Agree
I am not really interested in others., DISAGREE
I take time out for others., SOMEWHAT AGREE
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., Somewhat Agree
I leave my belongings around., Somewhat Agree
I pay attention to details., AGREE
I make a mess of things., Somewhat Disagree
I get chores done right away., Somewhat Agree
I often forget to put things back in their proper place., SOMEWHAT AGREE
I like order., AGREE
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., Neutral
I am exacting in my work., AGREE
I have a rich vocabulary., AGREE
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., DISAGREE
I have excellent ideas., Somewhat Agree
I do not have a good imagination., The persona chooses: Somewhat Agree
I am quick to understand things., AGREE
I use difficult words., Somewhat Agree
I spend time reflecting on things., AGREE
I am full of ideas., Somewhat Agree
