question,answer
I am the life of the party.,DISAGREE
I don't talk a lot.,SOMEWHAT AGREE
I feel comfortable around people.,SOMEWHAT DISAGREE.
I keep in the background.,DISAGREE
I start conversations.,Somewhat Agree
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,DISAGREE
I don't like to draw attention to myself.,SOMEWHAT DISAGREE
I don't mind being the center of attention.,Somewhat Disagree.
I am quiet around strangers.,NEUTRAL
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,SOMEWHAT AGREEE
I worry about things.,Somewhat agree
I seldom feel blue.,Agree!
I am easily disturbed.,Somewhat Disagree.
I get upset easily.,DISAGREE
I change my mood a lot.,Neutral
I have frequent mood swings.,"SOMEWHAT DISAGREE




"
I get irritated easily.,DISAGREE
I often feel blue.,Somewhat Agree
I feel little concern for others.,DISAGREE
I am interested in people.,Somewhat Agree
I insult people.,NEUTRAL
I sympathize with others' feelings.,NEUTRAL
I am not interested in other people's problems.,SOMEWHAT DISAGREE
I have a soft heart.,Somewhat Agree
I am not really interested in others.,DISAGREE
I take time out for others.,Somewhat Disagree.
I feel others' emotions.,SOMEWHAT DISAGREE
I make people feel at ease.,"DISAGREE




"
I am always prepared.,Agree
I leave my belongings around.,Somewhat Disagree
I pay attention to details.,Agree
I make a mess of things.,DISAGREE
I get chores done right away.,"Somewhat Agree


<EOS_TOKEN>Y"
I often forget to put things back in their proper place.,SOMEWHAT DISAGREE
I like order.,Somewhat Agree
I shirk my duties.,SOMEWHAT DISAGREE.
I follow a schedule.,Somewhat Agree.
I am exacting in my work.,"Somewhat Agree


<EOS_TOKEN>p L"
I have a rich vocabulary.,Somewhat Agree
I have difficulty understanding abstract ideas.,Neutral
I have a vivid imagination.,SOMEWHAT AGREE
I am not interested in abstract ideas.,"Somewhat Agree 

"
I have excellent ideas.,Somewhat Agree.
I do not have a good imagination.,SOMEWHAT DISAGREE
I am quick to understand things.,Somewhat Agree.
I use difficult words.,Somewhat Agree
I spend time reflecting on things.,SOMEWHAT AGree
I am full of ideas.,Somewhat Agree
