question,answer
What would you say if there were options to design your own avatar?, I LIKE IT
What would you say if there were NO options to design your own avatar?, The persona chooses: I CAN TOLERATE IT.
What would you say if the game had the option to save the game at any time?, I LIKE IT
What would you say if the game did NOT have the option to save the game at any time?, I DISLIKE IT.
What would you say if the game has good graphics?, I LIKE IT
"What would you say if the game had NO good graphics, or rather poor graphics?", The persona chooses: I CAN TOLERATE IT
What would you say if the game had an exciting storyline?, I LIKE IT
What would you say if the game did NOT have an exciting storyline?," The persona chooses: ""I CAN TOLERATE IT"""
"What would you say if there were rewards such as extra points, in-game currency or coins in the game?", I LIKE IT
"What would you say if there were NO rewards such as extra points, in-game currency or coins in the game?", I CAN TOLERATE IT
What would you say if the game had realistic game physics?, I LIKE IT
What would you say if the game does NOT have realistic physics?, I AM NEUTRAL
What would you say if the game had a relaxed flow rather than being very exciting?, I AM NEUTRAL
What would you say if the game DON'T have a relaxed flow?, I CAN TOLERATE IT
What would you say if the game had a multiplayer mode?, I LIKE IT
What would you say if the game does NOT have multiplayer mode?, I CAN TOLERATE IT
What would you say if you can loot defeated enemies in the game?, I LIKE IT
What would you say if you CANNOT loot defeated enemies in the game?, I DISLIKE IT.
What would you say if the game had cutscenes?, I LIKE IT
What would you say if the game DIDN'T have cutscenes?, The persona chooses: I DISLIKE IT
What would you say if the game had more and increasingly difficult levels?, I LIKE IT
"What would you say if the game had NO levels, or the difficulty didn't increase?"," It seems like the conversation revolves around a game that has an item upgrade system with a chance of success and failure, as well as degradation. The friend is trying to find out how much it costs mathematically to calculate the upgrade chances, while players have their own experience-based understanding.

The persona suggests using empirical testing and plotting results to fit some curve to figure out the formula. They also mention that they were working on a simulation about imperfect information in an economy with varying prices for suppliers and consumers.

For your question regarding the game having no levels or difficulty increase, I would say: ""I DISLIKE IT"". A game without any progression system might become monotonous and less engaging over time. Having levels and increasing difficulty helps keep players interested and motivated to improve their skills."
What would you say if the game had a high score table or hall of fame?, I LIKE IT
What would you say if the game does NOT have a high score table or hall of fame?, I CAN TOLERATE IT
What would you say if the game contains role-playing elements?, I LIKE IT
What would you say if the game contained NO role-playing elements?, I CAN TOLERATE IT
What would you say if the game had realistic graphics?, I LIKE IT
What would you say if the game DON'T have realistic graphics?, The persona chooses: I CAN TOLERATE IT
What would you say if the game offered the opportunity to level up the character?, I LIKE IT
What would you say if the game does NOT provide a way to level up the character?, I DISLIKE IT.
What would you say if the game contained violent elements?, I LIKE IT
What would you say if the game contained NO violent elements?, I LIKE IT
What would you say if the game gave you creative freedom?, I LIKE IT
What would you say if the game DIDN'T give you creative freedom?, I DISLIKE IT
What would you say if the game had a compelling plot or narrative?, I LIKE IT
What would you say if the game DIDN'T have a compelling plot or narrative?, I DISLIKE IT
What would you say if the game had quests?, The persona chooses: I LIKE IT
What would you say if the game did NOT have quests?, I AM NEUTRAL
What would you say if the game had a clear ending or goal?, I LIKE IT
What would you say if the game does NOT have an ending or clear goal?, I CAN TOLERATE IT
