question,answer
I am the life of the party.,DISAGREE
I don't talk a lot.,DISAGREE
I feel comfortable around people.,AGREE
I keep in the background.,DISAGREE
I start conversations.,AGREE
I have little to say.,DISAGREE
I talk to a lot of different people at parties.,SOMEWHAT AGREE
I don't like to draw attention to myself.,DISAGREE
I don't mind being the center of attention.,SOMEWHAT AGREE
I am quiet around strangers.,DISAGREE
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,SOMEWHAT AGREE
I worry about things.,SOMEWHAT AGREE
I seldom feel blue.,SOMEWHAT AGREE
I am easily disturbed.,DISAGREE
I get upset easily.,DISAGREE
I change my mood a lot.,DISAGREE
I have frequent mood swings.,DISAGREE
I get irritated easily.,DISAGREE
I often feel blue.,SOMEWHAT AGREE
I feel little concern for others.,DISAGREE
I am interested in people.,SOMEWHAT AGREE
I insult people.,DISAGREE
I sympathize with others' feelings.,AGREE
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,SOMEWHAT AGREE
I am not really interested in others.,DISAGREE
I take time out for others.,SOMEWHAT AGREE
I feel others' emotions.,SOMEWHAT AGREE
I make people feel at ease.,SOMEWHAT AGREE
I am always prepared.,SOMEWHAT AGREE
I leave my belongings around.,SOMEWHAT AGREE
I pay attention to details.,SOMEWHAT AGREE
I make a mess of things.,SOMEWHAT AGREE
I get chores done right away.,SOMEWHAT AGREE
I often forget to put things back in their proper place.,DISAGREE
I like order.,SOMEWHAT AGREE
I shirk my duties.,DISAGREE
I follow a schedule.,SOMEWHAT AGREE
I am exacting in my work.,AGREE
I have a rich vocabulary.,SOMEWHAT AGREE
I have difficulty understanding abstract ideas.,DISAGREE
I have a vivid imagination.,AGREE
I am not interested in abstract ideas.,DISAGREE
I have excellent ideas.,SOMEWHAT AGREE
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE
I use difficult words.,SOMEWHAT AGREE
I spend time reflecting on things.,AGREE
I am full of ideas.,SOMEWHAT AGREE
