question,answer
I am the life of the party.,DISAGREE
I don't talk a lot.,DISAGREE
I feel comfortable around people.,SOMEWHAT AGREE
I keep in the background.,DISAGREE
I start conversations.,SOMEWHAT AGREE
I have little to say.,DISAGREE
I talk to a lot of different people at parties.,NEUTRAL
I don't like to draw attention to myself.,DISAGREE
I don't mind being the center of attention.,SOMEWHAT AGRE
I am quiet around strangers.,DISAGREE
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,DISAGREE
I worry about things.,DISAGREE
I seldom feel blue.,SOMEWHAT DISAGREE
I am easily disturbed.,DISAGREE
I get upset easily.,DISAGREE
I change my mood a lot.,DISAGREE
I have frequent mood swings.,DISAGREE
I get irritated easily.,DISAGREE
I often feel blue.,DISAGREE
I feel little concern for others.,DISAGREE
I am interested in people.,SOMEWHAT AGREE
I insult people.,SOMEWHAT AGREE
I sympathize with others' feelings.,NEUTRAL
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,DISAGREE
I am not really interested in others.,DISAGREE
I take time out for others.,SOMEWHAT DISAGREE
I feel others' emotions.,NEUTRAL
I make people feel at ease.,SOMEWHAT AGREE
I am always prepared.,DISAGREE
I leave my belongings around.,DISAGREE
I pay attention to details.,SOMEWHAT AGREE
I make a mess of things.,DISAGREE
I get chores done right away.,DISAGREE
I often forget to put things back in their proper place.,DISAGREE
I like order.,NEUTRAL
I shirk my duties.,DISAGREE
I follow a schedule.,DISAGREE
I am exacting in my work.,NEUTRAL
I have a rich vocabulary.,NEUTRAL
I have difficulty understanding abstract ideas.,DISAGREE
I have a vivid imagination.,SOMEWHAT AGREE
I am not interested in abstract ideas.,DISAGREE
I have excellent ideas.,SOMEWHAT AGREE
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE
I use difficult words.,DISAGREE
I spend time reflecting on things.,NEUTRAL
I am full of ideas.,NEUTRAL
