question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., Somewhat Agree
I feel comfortable around people., Somewhat Agree
I keep in the background., SOMEWHAT DISAGREE
I start conversations., Somewhat Agree
I have little to say., Somewhat Disagree
I talk to a lot of different people at parties., Somewhat Agree
I don't like to draw attention to myself., AGREE
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Agree
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Agree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Agree
I often feel blue., Somewhat Agree
I feel little concern for others., Somewhat Agree
I am interested in people., Somewhat Agree
I insult people., Somewhat Disagree
I sympathize with others' feelings., SOMEWHAT AGREE
I am not interested in other people's problems., SOMEWHAT AGREE
I have a soft heart., Somewhat Agree
I am not really interested in others., SOMEWHAT DISAGREE
I take time out for others., Somewhat Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., SOMEWHAT DISAGREE
I leave my belongings around., Somewhat Disagree
I pay attention to details., Somewhat Agree
I make a mess of things., Somewhat Agree
I get chores done right away., Somewhat Disagree
I often forget to put things back in their proper place., NEUTRAL
I like order., Somewhat Agree
I shirk my duties., Somewhat Disagree
I follow a schedule., Somewhat Disagree
I am exacting in my work., Somewhat Agree
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Agree
I have a vivid imagination., Somewhat Agree
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., Agree
I use difficult words., Somewhat Agree
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
