question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., Somewhat Agree
I feel comfortable around people., Somewhat Agree
I keep in the background., NEUTRAL
I start conversations., NEUTRAL
I have little to say., NEUTRAL
I talk to a lot of different people at parties., SOMEWHAT AGREE
I don't like to draw attention to myself., Somewhat Disagree
I don't mind being the center of attention., SOMEWHAT AGREE
I am quiet around strangers., SOMEWHAT AGREE
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., SOMEWHAT AGREE
I worry about things., Somewhat Agree
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., SOMEWHAT AGREE
I often feel blue., SOMEWHAT AGREE
I feel little concern for others., Somewhat Disagree
I am interested in people., Somewhat Agree
I insult people., Disagree
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., Somewhat Disagree
I have a soft heart., Somewhat Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., Somewhat Agree
I feel others' emotions., SOMEWHAT AGREE
I make people feel at ease., Somewhat Agree
I am always prepared., Neutral
I leave my belongings around., SOMEWHAT DISAGREE
I pay attention to details., AGREE
I make a mess of things., NEUTRAL
I get chores done right away., SOMEWHAT AGREE
I often forget to put things back in their proper place., Somewhat agree
I like order., Somewhat Agree
I shirk my duties., Neutral
I follow a schedule., Somewhat Agree
I am exacting in my work., Somewhat Agree
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., AGREE
I use difficult words., Somewhat Disagree
I spend time reflecting on things., SOMEWHAT AGREE
I am full of ideas., SOMEWHAT AGREE
