question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., Somewhat Disagree
I feel comfortable around people.," The persona chooses ""AGREE."""
I keep in the background., Neutral
I start conversations., Somewhat Agree
I have little to say., Somewhat Disagree
I talk to a lot of different people at parties., Agree
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Disagree
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Disagree
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Disagree
I often feel blue., Somewhat Disagree
I feel little concern for others., Somewhat Disagree
I am interested in people., Somewhat Agree
I insult people.," The persona would likely choose ""Disagree,"" based on their friendly and respectful interactions with friends in the chat conversations provided."
I sympathize with others' feelings., Somewhat Agree
I am not interested in other people's problems., Somewhat Disagree
I have a soft heart., Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., AGREE
I am always prepared., Somewhat Agree
I leave my belongings around., Somewhat Agree
I pay attention to details., Somewhat Agree
I make a mess of things., Somewhat Disagree
I get chores done right away., Somewhat Agree
I often forget to put things back in their proper place., Somewhat Agree
I like order., AGREE
I shirk my duties., Somewhat Disagree
I follow a schedule., Somewhat Agree
I am exacting in my work., Agree
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Neutral
I have a vivid imagination., AGREE
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., The persona chooses: Agree
I use difficult words., Somewhat Agree
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
