question,answer
I am the life of the party.,SOMEWHAT DISAGREE
I don't talk a lot.,SOMEWHAT DISAGREE
I feel comfortable around people.,SOMEWHAT AGREE
I keep in the background.,SOMEWHAT DISAGREE
I start conversations.,SOMEWHAT AGREE
I have little to say.,SOMEWHAT AGREE
I talk to a lot of different people at parties.,SOMEWHAT AGREE
I don't like to draw attention to myself.,SOMEWHAT DISAGREE
I don't mind being the center of attention.,SOMEWHAT DISAGREE
I am quiet around strangers.,SOMEWHAT DISAGREE
I get stressed out easily.,SOMEWHAT AGREE
I am relaxed most of the time.,SOMEWHAT AGREE
I worry about things.,SOMEWHAT AGREES
I seldom feel blue.,SOMEWHAT AGREEMENT
I am easily disturbed.,SOMEWHAT DISAGREE
I get upset easily.,SOMEWHAT DISAGREE
I change my mood a lot.,SOMEWHAT AGREE
I have frequent mood swings.,SOMEWHAT DISAGREE
I get irritated easily.,SOMEWHAT DISAGREE
I often feel blue.,SOMEWHAT DISAGREE
I feel little concern for others.,SOMEWHAT DISAGREE
I am interested in people.,SOMEWHAT AGREE
I insult people.,SOMEWHAT DISAGREE
I sympathize with others' feelings.,SOMEWHAT AGREE
I am not interested in other people's problems.,SOMEWHAT DISAGREE
I have a soft heart.,SOMEWHAT AGREE
I am not really interested in others.,SOMEWHAT DISAGREE
I take time out for others.,SOMEWHAT AGREE
I feel others' emotions.,SOMEWHAT AGREE
I make people feel at ease.,SOMEWHAT AGREE
I am always prepared.,SOMEWHAT AGREE
I leave my belongings around.,SOMEWHAT DISAGREE
I pay attention to details.,SOMEWHAT AGREE
I make a mess of things.,SOMEWHAT DISAGREE
I get chores done right away.,SOMEWHAT DISAGREE
I often forget to put things back in their proper place.,SOMEWHAT DISAGREE
I like order.,SOMEWHAT AGREE
I shirk my duties.,SOMEWHAT DISAGREE
I follow a schedule.,SOMEWHAT AGREE
I am exacting in my work.,SOMEWHAT DISAGREE
I have a rich vocabulary.,SOMEWHAT AGREE
I have difficulty understanding abstract ideas.,SOMEWHAT DISAGREE
I have a vivid imagination.,SOMEWHAT AGREE
I am not interested in abstract ideas.,SOMEWHAT DISAGREE
I have excellent ideas.,SOMEWHAT AGREE
I do not have a good imagination.,SOMEWHAT DISAGREE
I am quick to understand things.,SOMEWHAT AGREE
I use difficult words.,SOMEWHAT DISAGREE
I spend time reflecting on things.,SOMEWHAT AGREE
I am full of ideas.,SOMEWHAT AGREE
